code,code_type,description,code_class
T82.119S,ICD10CM,"Breakdown (mechanical) of unspecified cardiac electronic device, sequela",carit
T82.120A,ICD10CM,"Displacement of cardiac electrode, initial encounter",carit
T82.120D,ICD10CM,"Displacement of cardiac electrode, subsequent encounter",carit
T82.120S,ICD10CM,"Displacement of cardiac electrode, sequela",carit
T82.121A,ICD10CM,"Displacement of cardiac pulse generator (battery), initial encounter",carit
T82.121D,ICD10CM,"Displacement of cardiac pulse generator (battery), subsequent encounter",carit
T82.121S,ICD10CM,"Displacement of cardiac pulse generator (battery), sequela",carit
T82.128A,ICD10CM,"Displacement of other cardiac electronic device, initial encounter",carit
T82.128D,ICD10CM,"Displacement of other cardiac electronic device, subsequent encounter",carit
T82.128S,ICD10CM,"Displacement of other cardiac electronic device, sequela",carit
T82.129A,ICD10CM,"Displacement of unspecified cardiac electronic device, initial encounter",carit
T82.129D,ICD10CM,"Displacement of unspecified cardiac electronic device, subsequent encounter",carit
T82.129S,ICD10CM,"Displacement of unspecified cardiac electronic device, sequela",carit
T82.190A,ICD10CM,"Other mechanical complication of cardiac electrode, initial encounter",carit
T82.190D,ICD10CM,"Other mechanical complication of cardiac electrode, subsequent encounter",carit
T82.190S,ICD10CM,"Other mechanical complication of cardiac electrode, sequela",carit
T82.191A,ICD10CM,"Other mechanical complication of cardiac pulse generator (battery), initial encounter",carit
T82.191D,ICD10CM,"Other mechanical complication of cardiac pulse generator (battery), subsequent encounter",carit
T82.191S,ICD10CM,"Other mechanical complication of cardiac pulse generator (battery), sequela",carit
T82.198A,ICD10CM,"Other mechanical complication of other cardiac electronic device, initial encounter",carit
T82.198D,ICD10CM,"Other mechanical complication of other cardiac electronic device, subsequent encounter",carit
T82.198S,ICD10CM,"Other mechanical complication of other cardiac electronic device, sequela",carit
T82.199A,ICD10CM,"Other mechanical complication of unspecified cardiac device, initial encounter",carit
T82.199D,ICD10CM,"Other mechanical complication of unspecified cardiac device, subsequent encounter",carit
T82.199S,ICD10CM,"Other mechanical complication of unspecified cardiac device, sequela",carit
R00.8,ICD10CM,Other abnormalities of heart beat,carit
Z45.010,ICD10CM,Encounter for checking and testing of cardiac pacemaker pulse generator [battery],carit
Z45.018,ICD10CM,Encounter for adjustment and management of other part of cardiac pacemaker,carit
Z45.02,ICD10CM,Encounter for adjustment and management of automatic implantable cardiac defibrillator,carit
Z45.09,ICD10CM,Encounter for adjustment and management of other cardiac device,carit
I48.19,ICD10CM,Other persistent atrial fibrillation,carit
I49.8,ICD10CM,Other specified cardiac arrhythmias,carit
I47.0,ICD10CM,Re-entry ventricular arrhythmia,carit
R00.1,ICD10CM,"Bradycardia, unspecified",carit
I49.2,ICD10CM,Junctional premature depolarization,carit
I48.20,ICD10CM,"Chronic atrial fibrillation, unspecified",carit
I49.9,ICD10CM,"Cardiac arrhythmia, unspecified",carit
I44.30,ICD10CM,Unspecified atrioventricular block,carit
I45.6,ICD10CM,Pre-excitation syndrome,carit
I49.1,ICD10CM,Atrial premature depolarization,carit
I49.5,ICD10CM,Sick sinus syndrome,carit
R00.0,ICD10CM,"Tachycardia, unspecified",carit
I47.9,ICD10CM,"Paroxysmal tachycardia, unspecified",carit
I47.1,ICD10CM,Supraventricular tachycardia,carit
I49.01,ICD10CM,Ventricular fibrillation,carit
I47.2,ICD10CM,Ventricular tachycardia,carit
I44.2,ICD10CM,"Atrioventricular block, complete",carit
I49.3,ICD10CM,Ventricular premature depolarization,carit
I49.02,ICD10CM,Ventricular flutter,carit
I48.0,ICD10CM,Paroxysmal atrial fibrillation,carit
I45.9,ICD10CM,"Conduction disorder, unspecified",carit
I44.1,ICD10CM,"Atrioventricular block, second degree",carit
I48.3,ICD10CM,Typical atrial flutter,carit
I48.4,ICD10CM,Atypical atrial flutter,carit
I48.91,ICD10CM,Unspecified atrial fibrillation,carit
I48.92,ICD10CM,Unspecified atrial flutter,carit
I48.11,ICD10CM,Longstanding persistent atrial fibrillation,carit
I37.9,ICD10CM,"Nonrheumatic pulmonary valve disorder, unspecified",valv
I05.8,ICD10CM,Other rheumatic mitral valve diseases,valv
I05.9,ICD10CM,"Rheumatic mitral valve disease, unspecified",valv
I07.8,ICD10CM,Other rheumatic tricuspid valve diseases,valv
I07.9,ICD10CM,"Rheumatic tricuspid valve disease, unspecified",valv
I08.0,ICD10CM,Rheumatic disorders of both mitral and aortic valves,valv
I08.1,ICD10CM,Rheumatic disorders of both mitral and tricuspid valves,valv
I08.2,ICD10CM,Rheumatic disorders of both aortic and tricuspid valves,valv
I08.3,ICD10CM,"Combined rheumatic disorders of mitral, aortic and tricuspid valves",valv
I08.8,ICD10CM,Other rheumatic multiple valve diseases,valv
I08.9,ICD10CM,"Rheumatic multiple valve disease, unspecified",valv
I34.0,ICD10CM,Nonrheumatic mitral (valve) insufficiency,valv
I34.1,ICD10CM,Nonrheumatic mitral (valve) prolapse,valv
I35.0,ICD10CM,Nonrheumatic aortic (valve) stenosis,valv
I35.1,ICD10CM,Nonrheumatic aortic (valve) insufficiency,valv
I35.2,ICD10CM,Nonrheumatic aortic (valve) stenosis with insufficiency,valv
I35.8,ICD10CM,Other nonrheumatic aortic valve disorders,valv
I37.1,ICD10CM,Nonrheumatic pulmonary valve insufficiency,valv
I37.2,ICD10CM,Nonrheumatic pulmonary valve stenosis with insufficiency,valv
I37.8,ICD10CM,Other nonrheumatic pulmonary valve disorders,valv
A52.05,ICD10CM,Other cerebrovascular syphilis,valv
A52.06,ICD10CM,Other syphilitic heart involvement,valv
A52.04,ICD10CM,Syphilitic cerebral arteritis,valv
I36.0,ICD10CM,Nonrheumatic tricuspid (valve) stenosis,valv
I36.1,ICD10CM,Nonrheumatic tricuspid (valve) insufficiency,valv
I37.0,ICD10CM,Nonrheumatic pulmonary valve stenosis,valv
I06.8,ICD10CM,Other rheumatic aortic valve diseases,valv
I09.89,ICD10CM,Other specified rheumatic heart diseases,valv
I34.8,ICD10CM,Other nonrheumatic mitral valve disorders,valv
I36.8,ICD10CM,Other nonrheumatic tricuspid valve disorders,valv
I36.2,ICD10CM,Nonrheumatic tricuspid (valve) stenosis with insufficiency,valv
I34.2,ICD10CM,Nonrheumatic mitral (valve) stenosis,valv
Z95.4,ICD10CM,Presence of other heart-valve replacement,valv
Z95.2,ICD10CM,Presence of prosthetic heart valve,valv
I34.9,ICD10CM,"Nonrheumatic mitral valve disorder, unspecified",valv
Z95.3,ICD10CM,Presence of xenogenic heart valve,valv
I06.9,ICD10CM,"Rheumatic aortic valve disease, unspecified",valv
I39,ICD10CM,Endocarditis and heart valve disorders in diseases classified elsewhere,valv
I36.9,ICD10CM,"Nonrheumatic tricuspid valve disorder, unspecified",valv
I35.9,ICD10CM,"Nonrheumatic aortic valve disorder, unspecified",valv
A52.02,ICD10CM,Syphilitic aortitis,valv
A52.00,ICD10CM,"Cardiovascular syphilis, unspecified",valv
Q23.0,ICD10CM,Congenital stenosis of aortic valve,valv
A52.03,ICD10CM,Syphilitic endocarditis,valv
I05.1,ICD10CM,Rheumatic mitral insufficiency,valv
I06.0,ICD10CM,Rheumatic aortic stenosis,valv
I06.1,ICD10CM,Rheumatic aortic insufficiency,valv
I06.2,ICD10CM,Rheumatic aortic stenosis with insufficiency,valv
I09.81,ICD10CM,Rheumatic heart failure,valv
Q23.1,ICD10CM,Congenital insufficiency of aortic valve,valv
Q23.2,ICD10CM,Congenital mitral stenosis,valv
Q23.3,ICD10CM,Congenital mitral insufficiency,valv
I09.1,ICD10CM,"Rheumatic diseases of endocardium, valve unspecified",valv
I05.0,ICD10CM,Rheumatic mitral stenosis,valv
I05.2,ICD10CM,Rheumatic mitral stenosis with insufficiency,valv
I07.0,ICD10CM,Rheumatic tricuspid stenosis,valv
I07.1,ICD10CM,Rheumatic tricuspid insufficiency,valv
I07.2,ICD10CM,Rheumatic tricuspid stenosis and insufficiency,valv
I38,ICD10CM,"Endocarditis, valve unspecified",valv
A52.01,ICD10CM,Syphilitic aneurysm of aorta,valv
A52.09,ICD10CM,Other cardiovascular syphilis,valv
I27.24,ICD10CM,Chronic thromboembolic pulmonary hypertension,pcd
I26.01,ICD10CM,Septic pulmonary embolism with acute cor pulmonale,pcd
I26.09,ICD10CM,Other pulmonary embolism with acute cor pulmonale,pcd
I26.90,ICD10CM,Septic pulmonary embolism without acute cor pulmonale,pcd
I26.99,ICD10CM,Other pulmonary embolism without acute cor pulmonale,pcd
I27.29,ICD10CM,Other secondary pulmonary hypertension,pcd
I27.20,ICD10CM,"Pulmonary hypertension, unspecified",pcd
I27.23,ICD10CM,Pulmonary hypertension due to lung diseases and hypoxia,pcd
I26.93,ICD10CM,Single subsegmental thrombotic pulmonary embolism without acute cor pulmonale,pcd
I26.94,ICD10CM,Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale,pcd
I27.89,ICD10CM,Other specified pulmonary heart diseases,pcd
I28.8,ICD10CM,Other diseases of pulmonary vessels,pcd
I27.81,ICD10CM,Cor pulmonale (chronic),pcd
I27.83,ICD10CM,Eisenmenger's syndrome,pcd
I27.9,ICD10CM,"Pulmonary heart disease, unspecified",pcd
I27.1,ICD10CM,Kyphoscoliotic heart disease,pcd
I27.0,ICD10CM,Primary pulmonary hypertension,pcd
I28.0,ICD10CM,Arteriovenous fistula of pulmonary vessels,pcd
I28.9,ICD10CM,"Disease of pulmonary vessels, unspecified",pcd
I27.82,ICD10CM,Chronic pulmonary embolism,pcd
I26.02,ICD10CM,Saddle embolus of pulmonary artery with acute cor pulmonale,pcd
I26.92,ICD10CM,Saddle embolus of pulmonary artery without acute cor pulmonale,pcd
I27.22,ICD10CM,Pulmonary hypertension due to left heart disease,pcd
I27.21,ICD10CM,Secondary pulmonary arterial hypertension,pcd
I70.201,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, right leg",pvd
I70.202,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, left leg",pvd
I70.203,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",pvd
I70.208,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, other extremity",pvd
I70.209,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity",pvd
I70.211,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",pvd
I70.212,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg",pvd
I70.213,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs",pvd
I70.218,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",pvd
I70.219,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",pvd
I70.221,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, right leg",pvd
I70.222,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, left leg",pvd
I70.223,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",pvd
I70.228,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",pvd
I70.229,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",pvd
I70.231,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of thigh,pvd
I70.232,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of calf,pvd
I70.233,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of ankle,pvd
I70.234,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,pvd
I70.235,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,pvd
I70.239,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,pvd
I70.241,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of thigh,pvd
I70.242,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of calf,pvd
I70.243,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of ankle,pvd
I70.244,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,pvd
I70.245,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,pvd
I70.249,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,pvd
I70.25,ICD10CM,Atherosclerosis of native arteries of other extremities with ulceration,pvd
I70.261,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, right leg",pvd
I70.262,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, left leg",pvd
I70.263,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",pvd
I70.268,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, other extremity",pvd
I70.269,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",pvd
I70.291,ICD10CM,"Other atherosclerosis of native arteries of extremities, right leg",pvd
I70.292,ICD10CM,"Other atherosclerosis of native arteries of extremities, left leg",pvd
I70.293,ICD10CM,"Other atherosclerosis of native arteries of extremities, bilateral legs",pvd
I70.298,ICD10CM,"Other atherosclerosis of native arteries of extremities, other extremity",pvd
I70.299,ICD10CM,"Other atherosclerosis of native arteries of extremities, unspecified extremity",pvd
I70.301,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",pvd
I70.302,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",pvd
I70.303,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",pvd
I70.308,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",pvd
I70.309,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",pvd
I70.311,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.312,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.313,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.318,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.319,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.321,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.322,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.323,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.328,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.329,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.331,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.332,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,pvd
I70.333,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.334,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.335,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.338,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.339,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.341,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.342,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,pvd
I70.343,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.344,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.345,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.348,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.349,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.35,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,pvd
I70.361,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.362,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.363,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.368,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.369,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.391,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",pvd
I70.392,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",pvd
I70.393,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",pvd
I70.398,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",pvd
I70.399,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",pvd
I70.401,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",pvd
I70.402,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",pvd
I70.403,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",pvd
I70.408,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",pvd
I70.409,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",pvd
I70.411,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.412,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.413,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.418,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.419,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.421,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.422,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.423,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.428,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.429,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.431,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.432,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,pvd
I70.433,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.434,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.435,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.438,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.439,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.441,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.442,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,pvd
I70.443,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.444,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.445,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.448,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.449,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.45,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,pvd
I70.461,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.462,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.463,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.468,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.469,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.491,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",pvd
I70.492,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",pvd
I70.493,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",pvd
I70.498,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",pvd
I70.499,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",pvd
I70.501,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",pvd
I70.502,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",pvd
I70.503,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",pvd
I70.508,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",pvd
I70.509,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",pvd
I70.511,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.512,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.513,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.518,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.519,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.521,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.522,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.523,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.528,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.529,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.531,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.532,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,pvd
I70.533,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.534,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
