code,code_type,description,code_class
I50.813,ICD10CM,Acute on chronic right heart failure,chf
I50.814,ICD10CM,Right heart failure due to left heart failure,chf
I42.5,ICD10CM,Other restrictive cardiomyopathy,chf
I42.8,ICD10CM,Other cardiomyopathies,chf
I25.5,ICD10CM,Ischemic cardiomyopathy,chf
P29.0,ICD10CM,Neonatal cardiac failure,chf
I50.82,ICD10CM,Biventricular heart failure,chf
I43,ICD10CM,Cardiomyopathy in diseases classified elsewhere,chf
I50.84,ICD10CM,End stage heart failure,chf
I42.6,ICD10CM,Alcoholic cardiomyopathy,chf
I42.0,ICD10CM,Dilated cardiomyopathy,chf
I50.9,ICD10CM,"Heart failure, unspecified",chf
I09.9,ICD10CM,"Rheumatic heart disease, unspecified",chf
I50.83,ICD10CM,High output heart failure,chf
I50.811,ICD10CM,Acute right heart failure,chf
I42.9,ICD10CM,"Cardiomyopathy, unspecified",chf
I50.20,ICD10CM,Unspecified systolic (congestive) heart failure,chf
I50.22,ICD10CM,Chronic systolic (congestive) heart failure,chf
I50.30,ICD10CM,Unspecified diastolic (congestive) heart failure,chf
I11.0,ICD10CM,Hypertensive heart disease with heart failure,chf
I70.201,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, right leg",pvd
I70.202,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, left leg",pvd
I70.203,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",pvd
I70.208,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, other extremity",pvd
I70.209,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity",pvd
I70.211,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",pvd
I70.212,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg",pvd
I70.213,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs",pvd
I70.218,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",pvd
I70.219,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",pvd
I70.221,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, right leg",pvd
I70.222,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, left leg",pvd
I70.223,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",pvd
I70.228,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",pvd
I70.229,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",pvd
I70.231,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of thigh,pvd
I70.232,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of calf,pvd
I70.233,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of ankle,pvd
I70.234,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,pvd
I70.235,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,pvd
I70.239,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,pvd
I70.241,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of thigh,pvd
I70.242,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of calf,pvd
I70.243,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of ankle,pvd
I70.244,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,pvd
I70.245,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,pvd
I70.249,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,pvd
I70.25,ICD10CM,Atherosclerosis of native arteries of other extremities with ulceration,pvd
I70.261,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, right leg",pvd
I70.262,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, left leg",pvd
I70.263,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",pvd
I70.268,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, other extremity",pvd
I70.269,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",pvd
I70.291,ICD10CM,"Other atherosclerosis of native arteries of extremities, right leg",pvd
I70.292,ICD10CM,"Other atherosclerosis of native arteries of extremities, left leg",pvd
I70.293,ICD10CM,"Other atherosclerosis of native arteries of extremities, bilateral legs",pvd
I70.298,ICD10CM,"Other atherosclerosis of native arteries of extremities, other extremity",pvd
I70.299,ICD10CM,"Other atherosclerosis of native arteries of extremities, unspecified extremity",pvd
I70.301,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",pvd
I70.302,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",pvd
I70.303,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",pvd
I70.308,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",pvd
I70.309,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",pvd
I70.311,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.312,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.313,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.318,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.319,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.321,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.322,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.323,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.328,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.329,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.331,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.332,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,pvd
I70.333,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.334,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.335,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.338,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.339,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.341,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.342,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,pvd
I70.343,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.344,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.345,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.348,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.349,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.35,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,pvd
I70.361,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.362,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.363,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.368,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.369,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.391,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",pvd
I70.392,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",pvd
I70.393,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",pvd
I70.398,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",pvd
I70.399,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",pvd
I70.401,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",pvd
I70.402,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",pvd
I70.403,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",pvd
I70.408,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",pvd
I70.409,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",pvd
I70.411,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.412,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.413,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.418,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.419,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.421,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.422,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.423,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.428,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.429,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.431,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.432,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,pvd
I70.433,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.434,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.435,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.438,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.439,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.441,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.442,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,pvd
I70.443,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.444,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.445,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.448,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.449,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.45,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,pvd
I70.461,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.462,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.463,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.468,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.469,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.491,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",pvd
I70.492,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",pvd
I70.493,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",pvd
I70.498,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",pvd
I70.499,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",pvd
I70.501,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",pvd
I70.502,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",pvd
I70.503,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",pvd
I70.508,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",pvd
I70.509,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",pvd
I70.511,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.512,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.513,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.518,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.519,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.521,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.522,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.523,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.528,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.529,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.531,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.532,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,pvd
I70.533,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.534,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.535,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.538,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.539,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.541,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.542,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,pvd
I70.543,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.544,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.545,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.548,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.549,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.55,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,pvd
I70.561,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.562,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.563,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.568,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.569,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.591,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",pvd
I70.592,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",pvd
I70.593,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",pvd
I70.598,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",pvd
I70.599,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",pvd
I70.601,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",pvd
I70.602,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",pvd
I70.603,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",pvd
I70.608,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",pvd
I70.609,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",pvd
I70.611,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.612,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.613,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.618,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.619,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.621,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.622,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.623,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.628,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.629,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.631,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.632,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf,pvd
I70.633,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.634,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.635,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.638,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.639,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.641,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.642,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,pvd
I70.643,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.644,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.645,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot,pvd
I70.648,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg,pvd
I70.649,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,pvd
I70.65,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,pvd
I70.661,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",pvd
I70.662,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",pvd
I70.663,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs",pvd
I70.668,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",pvd
I70.669,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity",pvd
I70.691,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",pvd
I70.692,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",pvd
I70.693,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",pvd
I70.698,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",pvd
I70.699,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",pvd
I70.701,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, right leg",pvd
I70.702,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, left leg",pvd
I70.703,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",pvd
I70.708,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",pvd
I70.709,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",pvd
I70.711,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, right leg",pvd
I70.712,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, left leg",pvd
I70.713,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",pvd
I70.718,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, other extremity",pvd
I70.719,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",pvd
I70.721,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",pvd
I70.722,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",pvd
I70.723,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, bilateral legs",pvd
I70.728,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, other extremity",pvd
I70.729,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified extremity",pvd
I70.731,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,pvd
I70.732,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf,pvd
I70.733,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,pvd
I70.734,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,pvd
I70.735,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,pvd
I70.738,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg,pvd
I70.739,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,pvd
I70.741,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,pvd
I70.742,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf,pvd
I70.743,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle,pvd
I70.744,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot,pvd
I70.745,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot,pvd
